Magical Girl	CATEGORY:Special Ability	TYPE:FavoredClass	VISIBLE:DISPLAY	STACK:NO	MULT:NO	BONUS:ABILITYPOOL|Favored Class Bonus|MagicalGirlLVL

Magical Girl	CATEGORY:Class	DEFINE:Magical_Girl_CFP_Level|0	DEFINE:MagicalGirlClassSelection|0	DEFINE:Pool_Magical_Girl_Class_Selection|0
#	ABILITY:Magical Girl Archetype|AUTOMATIC|Archetype Magical Girl
#	ABILITY:Class|AUTOMATIC|Magical Girl ~ Standard Class|!PREABILITY:1,CATEGORY=CLASS,TYPE.AltMagicalGirlChoice
#	BONUS:VAR|Barbarian_CFP_Level|BarbarianLVL|TYPE=Base

CATEGORY=Internal|Default.MOD	DEFINE:BypassClassAlignment_Magical_Girl|0	BONUS:VAR|BypassClassAlignment_Magical_Girl|BypassClassAlignment_All_Class|TYPE=Bypass

###Block: Magical Girl Abilities (Base)
Transformation Sequence	KEY:Magical Girl ~ Transformation Sequence	CATEGORY:Special Ability	TYPE:MagicalGirlClassFeatures.SpecialQuality.Supernatural	DESC:Unlike most mages, a magical girl is not a generalist, but a specialist, usually a combat specialist, and generally expected to absorb not-insignificant amounts of punishment. As such, one of the first things they learn at 2nd level is the ability to turn their regular clothing into a protective suit of armor, often somewhat outlandish in appearance, depending on the magical girl's tastes. However, even if their transformed appearance is identical to their regular appearance, the magical girl will not be recognized as herself unless the observer sees her transform, or succeeds on a Will save (DC 20 + 1/2 class level + Charisma modifier) - they may make this Will save whenever they have detected the magical girl to a sufficient degree of precision as to be able to identify her (whether hearing her voice, or seeing her, or using another appropriate sense). If they fail this save, the magical girl's transformed and untransformed identities are not known to be the same person, and they may only attempt this save upon seeing her in the future if their Will save modifier has increased from its level when they failed the check.<br/><br/>The transformation requires a full-round action, at will, and replaces a magical girl's current clothing or armour with a costume that provides an armor bonus equal to their caster level, with no chance of arcane spell failure or armour check penalty. This is regular armor, however, regardless of its source, and does not apply to incorporeal or touch attacks.<br/><br/>The Transformation Sequence will last ten minutes per caster level per day, staying active until the time runs out or until the magical girl chooses to dispel it again. The magical girl may transform as many times per day as they wish, so long as they have time remaining for the day.
All Night Long			KEY:Magical Girl ~ All Night Long			CATEGORY:Special Ability	TYPE:MagicalGirlClassFeatures.SpecialQuality.Extraordinary	DESC:Magical girls often lead double lives, as normal civilians during the day and using their powers at night. As such, they quickly learn to function on less sleep than most, only needing to rest for half the normal amount they'd normally require at second level.
Device					KEY:Magical Girl ~ Device					CATEGORY:Special Ability	TYPE:MagicalGirlClassFeatures.SpecialQuality.Extraordinary	DESC:Most magical girls use a special focus item to assist in the use of their powers. At 3rd level, the magical girl automatically gains one item - usually a weapon, but magical girls have also been known to use such diverse items as a small computer, cellular phones, holy symbols, and household implements. If this item is a weapon, can be used as a weapon, or is another object the magical girl is not proficient in the use of (such as a computer for a magical girl lacking technological savvy), she automatically gains proficiency and Weapon Specialization in the use of that item, and all items of its type (for instance, if it is a longsword she gains proficiency and Weapon Specialization with longswords, though no other martial weapons). This item is counted as a masterwork item, and may be enchanted.<br/><br/>The device can be turned into a storage form, an innocuous item (such as a pendant) that does not register as magical unless enchantments have been purchased, and returned to its full device form as either an action taking as long as the magical girl's transformation sequence, or a free action accompanying her transformation sequence.<br/><br/>The device takes part of the mental workload of triggering a magical girl's powers off of the magical girl, making it easier, and therefore quicker - all formulas requiring a full-round action now require a standard action, so long as the magical girl's device is in her possession, and in full item form, not storage form. The magical girl's device may be enchanted like any other weapon (if it is not a weapon, it may still be enchanted with costs as a weapon). The device's magical enhancement bonus applies to the to-hit and damage of all formulas used with the device as well as its own weapon use, unless otherwise stated in the formula description, and the device's composition (special materials cost must be paid in gp) and alignment also count for penetrating damage reduction.<br/><br/>If a magical girl's device is lost or destroyed, she may acquire another by focusing for forty-eight hours. These need not be consecutive, but her device will not appear until all forty-eight hours have been completed. The precise nature of this focus varies by the nature of the magical girl - some will draw the device out of their souls, others will be making it as a technological item, and still others have even more esoteric means. This replacement device will not possess any enchantments that the original did - it will be completely non-magical until the enchantments are replaced.
Defense Data			KEY:Magical Girl ~ Defense Data				CATEGORY:Special Ability	TYPE:MagicalGirlClassFeatures.SpecialQuality.Extraordinary	DESC:Over time, a magical girl learns to enhance their battle outfit so as to cut down on the chinks that allow small but hostile chemicals and life forms through. At 7th level a magical girl becomes immune to all diseases, including supernatural and magical diseases, so long as her transformation sequence is active.
Suffused Transformation	KEY:Magical Girl ~ Suffused Transformation	CATEGORY:Special Ability	TYPE:MagicalGirlClassFeatures.SpecialQuality.Extraordinary	DESC:At 15th level, the magic suffusing the magical girl's armour is strong enough to serve as its own defence, making it difficult for magical attacks to penetrate. At this point, the magical girl's transformation sequence applies against touch attacks.
